,鳥,爬虫類,魚
105,,,ナガレフウライボラ
106,,,アカメ
107,,,オヤニラミ
108,,,アトクギス
109,,,トゲナガユゴイ
110,,,カジカ小卵型
111,,,カジカ中卵型
112,,,ヤマノカミ
113,,,ジャノメハゼ
114,,,タメトモハゼ
115,,,ゴシキタメトモハゼ
116,,,タナゴモドキ
117,,,ムツゴロウ
118,,,トサカハゼ
119,,,キセルハゼ
120,,,クボハゼ
121,,,ムサシノジュズカケハゼ
122,,,ホホグロハゼ
123,,,オガサワラヨシノボリ
124,,,キバラヨシノボリ
125,,,シマエソハゼ
126,,,エソハゼ
127,,,チワラスボ
128,,,コビトハゼ
129,,,カワヤツメ
130,,,スナヤツメ北方種
131,,,スナヤツメ南方種
132,,,ゼゼラ
133,,,キンブナ
134,,,ハス
135,,,スゴモロコ
136,,,デメモロコ
137,,,ヤマトシマドジョウ
138,,,トサシマドジョウ
139,,,チュウガタスジシマドジョウ
140,,,アジメドジョウ
141,,,アリアケギバチ
142,,,ギバチ
143,,,アカザ
144,,,ゴギ
145,,,オショロコマ
146,,,ミヤベイワナ
147,,,エゾトミヨ
148,,,ミナミメダカ
149,,,キタノメダカ
150,,,ナンヨウチヌ
151,,,カマキリ（アユカケ）
152,,,イシドンコ
153,,,ホシマダラハゼ
154,,,ハゼクチ
155,,,ミナミアシシロハゼ
156,,,キララハゼ
157,,,タビラクチ
158,,,アサガラハゼ
159,,,エドハゼ
160,,,シンジコハゼ
161,,,チクゼンハゼ
162,,,シロウオ
163,,,ミナミヒメミミズハゼ
164,,,ムジナハゼ
165,,,ワラスボ
166,,,マングローブゴマハゼ
167,,,ゴマハゼ
168,,,ギンポハゼ
169,,,マサゴハゼ
170,,,ルリボウズハゼ
171,,,ヒゲワラスボ
172,,,ボルネオハゼ
173,,,シベリアヤツメ
174,,,ヤチウグイ
175,,,カワヒガイ
176,,,ヤリタナゴ
177,,,アブラボテ
178,,,ドジョウ
179,,,イワトコナマズ
180,,,イシカリワカサギ
181,,,サツキマス（アマゴ）
182,,,サクラマス（ヤマメ）
183,,,ビワマス
184,,,トミヨ属汽水型
185,,,クルメサヨリ
186,,,コモチサヨリ
187,,,カジカ大卵型
188,,,ニセツムギハゼ
189,,,ホクロハゼ
190,,,ホホグロスジハゼ
191,,,ワカケサラサハゼ
192,,,オウギハゼ
193,,,カブキハゼ
194,,,ヒモハゼ
195,,,スダレウロハゼ
196,,,ジュズカケハゼ
197,,,ナガレミミズハゼ
198,,,ユウスイミミズハゼ
199,,,イドミミズハゼ
200,,,トビハゼ
201,,,トウカイヨシノボリ
202,,,シマヒレヨシノボリ
203,,,シラヌイハゼ
204,,,ニセシラヌイハゼ
205,,,ショウキハゼ
206,,,シロチチブ
207,,,ナミノコハゼ
208,,,ニューギニアウナギ
209,,,ナガブナ
210,,,ヤマナカハヤ
211,,,キタドジョウ
212,,,シノビドジョウ
213,,,ヒョウモンドジョウ
214,,,ニッコウイワナ
215,,,アンピンボラ
216,,,オニボラ
217,,,モンナシボラ
218,,,カマヒレボラ
219,,,ネッタイイソイワシ
220,,,ミナミギンイソイワシ
221,,,ナンヨウタカサゴイシモチ
222,,,ハナダカタカサゴイシモチ
223,,,シラヌイハタ
224,,,ワキイシモチ
225,,,ヒルギヌメリテンジクダイ
226,,,ダイダイコショウダイ
227,,,ゴマクモギンポ
228,,,ナリタイトヒキヌメリ
229,,,エリトゲハゼ
230,,,フタゴハゼ
231,,,ヘビハゼ
232,,,ネムリミミズハゼ
233,,,フタホシハゼ
234,,,コクチスナゴハゼ
235,,,タスキヒナハゼ
236,,,ビワヨシノボリ
237,,,ヒノコロモボウズハゼ
238,,,ドウケハゼ
239,,,トラフボウズハゼ
240,,,ニライカナイボウズハゼ
